term_id,standard_term,synonyms,category,definition,source_doc,source_location,evidence_snippet,confidence_score,diff_status,review_status,reviewer_note
AD-0011,CmReview,씨엠리뷰|방송광고 심의관리시스템,시스템/플랫폼,방송광고 송출 전 사전 자율심의 신청 및 심의 결과를 관리하는 광고업계 공용 인프라 시스템.,2025 영업실무핸드북.pdf,p.61 / chunk_61,방송광고 심의관리시스템(이하 CmReview)이란 방송광고를 송출하기 이전에 심의를 위하여 이용자들이 소재를 신청하고 사전 자율심의 기능을 수행하는 시스템,0.96,신규,보류,중요도 11위 | 심의 연동 시스템
AD-0012,프로그램광고,방송프로그램광고|프로그램 광고|전후CM,광고상품/편성유형,방송프로그램의 전후(시작타이틀 고지 후 본방송 시작 전 및 본방송 종료 후 종료타이틀 고지 전)에 편성되는 광고.,2025 영업실무핸드북.pdf,p.4 / chunk_04,방송프로그램의 전후(방송프로그램 시작타이틀 고지 후부터 본방송프로그램 시작 전까지 및 본방송프로그램 종료 후부터 방송프로그램 종료타이틀 고지 전까지)에 편성되는 광고,0.98,신규,보류,중요도 12위 | 주력 광고 상품
AD-0013,중간광고,중간 광고|중CM,광고상품/편성유형,1개의 동일한 방송프로그램이 시작한 후부터 종료되기 전까지 사이에 그 프로그램을 중단하고 편성되는 광고.,2025 영업실무핸드북.pdf,p.4 / chunk_04,1개의 동일한 방송프로그램이 시작한 후부터 종료되기 전까지 사이에 그 방송프로그램을 중단하고 편성되는 광고,0.97,신규,보류,중요도 13위 | 높은 몰입도 상품
AD-0014,자막광고,자막 광고|화면하단자막,광고상품/편성유형,방송프로그램과 관계없이 방송순서고지나 방송국 명칭고지 시 화면 하단에 문자 또는 그림으로 나타내는 광고.,2025 영업실무핸드북.pdf,p.4 / chunk_04,방송프로그램과 관계없이 문자 또는 그림으로 나타내는 광고. 방송순서고지(곧이어) 방송국 명칭고지(ID) 시 화면하단에 노출,0.96,신규,보류,중요도 14위 | 자막 형태 광고
AD-0015,시보광고,시보 광고|시간고지광고,광고상품/편성유형,현재 시각 고지 방송 시 정시 시각 알림과 함께 노출 및 방송되는 광고.,2025 영업실무핸드북.pdf,p.4 / chunk_04,현재시간 고지 시 함께 방송되는 광고,0.96,신규,보류,중요도 15위 | 시각 고지 상품
AD-0016,가상광고,가상 광고|CG광고,광고상품/편성유형,방송프로그램에 컴퓨터 그래픽(CG)을 이용하여 만든 가상의 이미지를 삽입하는 형태의 광고.,2025 영업실무핸드북.pdf,p.4 / chunk_04,방송프로그램에 컴퓨터 그래픽을 이용하여 만든 가상의 이미지를 삽입하는 형태의 광고,0.95,신규,보류,중요도 16위 | 디지털 그래픽 상품
AD-0017,간접광고,PPL|간접 광고|간접노출광고,광고상품/편성유형,방송프로그램 안에서 상품이나 소품을 배치하여 자연스럽게 노출시키는 형태의 광고.,2025 영업실무핸드북.pdf,p.4 / chunk_04,방송프로그램 안에서 상품을 소품으로 활용하여 그 상품을 노출시키는 형태의 광고,0.98,신규,보류,중요도 17위 | PPL 대표 용어
AD-0018,협찬고지,협찬 고지|제작협찬|협찬사고지,광고상품/편성유형,방송프로그램 제작에 필요한 경비·물품·장소 등을 제공받고 타인의 명칭이나 상호 등을 고지하는 방송 행위.,2025 영업실무핸드북.pdf,p.4 / chunk_04,타인으로부터 방송프로그램의 제작에 직접·간접적으로 필요한 경비·물품·용역·인력 또는 장소등을 제공받고 그 타인의 명칭 또는 상호 등을 고지하는 것,0.96,신규,보류,중요도 18위 | 제작 협찬 제도
AD-0019,미디어렙,방송광고판매대행사|미디어렙사,매체/사업자,방송사업자를 대신하여 방송광고를 판매하고 수수료를 받는 방송광고 판매대행 법인.,2025 영업실무핸드북.pdf,p.10 / chunk_10,미디어렙사에 의뢰한 방송사업자는 방송광고판매액의 100분의 20 이내에서 수탁수수료를 지급,0.97,신규,보류,중요도 19위 | 방송광고 판매대행 사업자
AD-0020,수탁수수료,방송수탁수수료|공사 수탁수수료,수수료/정산,방송사업자가 방송광고 판매를 위탁하며 미디어렙사(공사 등)에 지급하는 법정 수수료(판매액의 13~16% 수준).,2025 영업실무핸드북.pdf,p.10 / chunk_10,미디어렙사에 의뢰한 방송사업자는 방송광고판매액의 100분의 20 이내에서 수탁수수료를 지급하여야 함,0.96,신규,보류,중요도 20위 | 방송사 → 렙사 수수료
AD-0021,정기물,정기물 판매|월단위 청약,판매방식,Upfront 판매 후 남아있는 잔여 광고 물량을 통상 1~2개월의 월 단위로 판매하는 방송광고 판매 방식.,2025 영업실무핸드북.pdf,p.27 / chunk_27,Upfront 잔여물량을 통상 월 단위로 판매하는 방식 (1~2개월),0.95,신규,보류,중요도 21위 | 월간 정기 청약
AD-0022,임시물,임시물 판매|단건 판매,판매방식,정기물 판매 이후 남은 잔여 물량에 대해 단건 또는 1개월 이하로 월중에 수시 판매하는 방식.,2025 영업실무핸드북.pdf,p.27 / chunk_27,정기물 판매이후 잔여물량에 대해 일반적으로 단 건에서 1개월 이하로 월중에 판매하는 방식,0.94,신규,보류,중요도 22위 | 수시 단건 청약
AD-0023,Preemption,프리엠프션|선매판매|우선구매제도,판매방식,사전에 지정한 특정 프로그램 및 토막광고(SB)를 대상으로 더 높은 요금을 제시하는 광고주에게 우선 판매하는 제도.,2025 영업실무핸드북.pdf,p.27 / chunk_27,사전에 지정한 특정 프로그램과 SB를 대상으로 보다 높은 요금을 제시하는 광고주에게 판매하는 제도,0.94,신규,보류,중요도 23위 | 입찰형 우선 판매
AD-0024,CM순서지정판매,CM 순서지정|순서지정 판매|CM위치지정,판매방식,광고주가 지정료를 추가 부담하여 프로그램 순서 내 특정 CM 노출 위치를 직접 지정하여 청약하는 제도.,2025 영업실무핸드북.pdf,p.27 / chunk_27,광고주가 CM지정료를 추가 부담하여 청약 프로그램의 CM위치를 지정하는 제도,0.95,신규,보류,중요도 24위 | 노출 순서 지정 프리미엄
AD-0025,GRPs보장판매,GRPs 보장판매|총시청률 보장제|시청률보장제,판매방식,정기물 구매 방송프로그램에 대해 광고 계약기간 동안 보장된 총시청률(GRPs)을 달성할 수 있도록 보상 조치해주는 제도.,2025 영업실무핸드북.pdf,p.27 / chunk_27,광고주가 정기물로 구매한 방송프로그램에 대하여 방송광고 계약기간동안 공사가 광고주와 상호합의한 총시청률을 보장해 주는 제도,0.95,신규,보류,중요도 25위 | 시청률 보장 상품
AD-0026,ROS판매,Run of Schedule|ROS|미판활용판매,판매방식,미판 프로그램 및 토막광고를 활용하여 청약 금액 대비 약정 시청률 및 청약 횟수를 보장하여 판매하는 방식.,2025 영업실무핸드북.pdf,p.27 / chunk_27,미판 프로그램 및 SB를 활용하여 방송광고 청약금액 대비 시청률 및 청약횟수를 보장하여 판매함,0.93,신규,보류,중요도 26위 | 미판매 구좌 패키지
AD-0027,기준요금,프로그램 기준요금|기본 광고요금,요금/시급체계,기준지수 초당요금 판매초수 공익성지수를 곱하여 산출하는 TV 프로그램 광고의 산정 기준 금액.,2025 영업실무핸드북.pdf,p.15 / chunk_15,기준요금 = 기준지수 × 매체별 초당요금 × 판매초수 × 공익성지수,0.96,신규,보류,중요도 27위 | TV 광고 산식 기준
AD-0028,기준지수,프로그램 기준지수|예상지수 연산,요금/시급체계,프로그램 예상지수 적용률 광고유형지수를 종합적으로 곱하여 산정하는 요금 계산 지수.,2025 영업실무핸드북.pdf,p.15 / chunk_15,기준지수 = 프로그램 예상지수 × 적용률 × 광고유형지수,0.95,신규,보류,중요도 28위 | 요금 산정 핵심 요소
AD-0029,시청률 예상지수,예상시청률 지수|시청률지수,요금/시급체계,최근 2년간 시간대별 평균 개인 시청률(A)과 장르별 등급(B)을 곱하여 수치화한 지수.,2025 영업실무핸드북.pdf,p.15 / chunk_15,프로그램 예상지수 = (시청률 예상지수 × 장르별 등급)의 지수화,0.94,신규,보류,중요도 29위 | 시청률 데이터 반영
AD-0030,장르별 등급,장르지수|장르 등급|방송장르 가중치,요금/시급체계,"드라마(1.2), 오락(1.1), 스포츠(1.0), 보도(0.9) 등 방송 프로그램 장르별 시청 가치를 5단계 카테고리로 구분한 가중치.",2025 영업실무핸드북.pdf,p.15 / chunk_15,방송프로그램의 유형표준코드에 따른 장르별 시청 패턴 등을 고려하여 0.8 ~ 1.2까지 0.1씩 구분하여 5단계로 카테고리화,0.95,신규,보류,중요도 30위 | 장르 가중치 체계
AD-0031,적용률,판매 적용률|선호도 적용률,요금/시급체계,프로그램별 예상 판매율 광고주 선호도 경쟁사 편성을 고려하여 10~300% 범위에서 탄력적으로 산정하는 비율.,2025 영업실무핸드북.pdf,p.15 / chunk_15,프로그램별 예상 판매율 광고주 선호도 전통적 요금 수준 상대방송사의 편성을 고려하여 10~300%로 구분 적용,0.94,신규,보류,중요도 31위 | 영업 탄력 비율
AD-0032,광고유형지수,유형지수|중간광고지수,요금/시급체계,중간광고(1.0~3.0) 등 광고 노출 형태 및 가치에 따라 차등 적용하는 지수.,2025 영업실무핸드북.pdf,p.15 / chunk_15,중간광고 등 광고유형에 따라 적용하는 지수. 중간광고지수 : 1.0∼3.0 범위에서 영업담당부서에서 탄력 적용,0.93,신규,보류,중요도 32위 | 광고 상품 가치 지수
AD-0033,공익성지수,공익성 지수|공익프로그램 가산,요금/시급체계,공익성이 인정되는 우수 프로그램에 대해 기준요금 산정 시 5%의 할증률을 적용해주는 지수.,2025 영업실무핸드북.pdf,p.16 / chunk_16,영업국별로 5개 이상 선정한 공익성 프로그램 대해 기준요금 산정 시 5% 할증률 적용,0.94,신규,보류,중요도 33위 | 공익 프로그램 혜택
AD-0034,초당요금,매체별 초당요금|초당 단가,요금/시급체계,KBS-2TV MBC-TV 등 각 방송 매체별로 책정된 1초 단위의 표준 광고요금 단가 (예: 270 000원/초).,2025 영업실무핸드북.pdf,p.16 / chunk_16,매체별 초당요금 : KBS-2TV 270 000원 / MBC-TV 270 000원,0.97,신규,보류,중요도 34위 | 초당 기본단가
AD-0035,전파료,방송전파료|방송사 전파료,요금/시급체계,방송광고 송출의 대가로 지상파 방송 본사 및 지역 계열사에 배분되는 광고 요금.,2025 영업실무핸드북.pdf,p.17 / chunk_17,KBS-2TV 전파료(초당 기준)... MBC-TV 네트워크 지역전파료 배분,0.95,신규,보류,중요도 35위 | 방송 송출 대가
AD-0036,네트워크 전파료,지역전파료|네트워크 배분 전파료,요금/시급체계,MBC 본사와 16개 지역 MBC 간 또는 SBS와 지역 민방 간 광고 매출을 정률 배분하기 위한 전파료 산정 체계.,2025 영업실무핸드북.pdf,p.17 / chunk_17,네트워크 지역지상파방송사업자와 방송광고의 매출을 배분할 때에는 합리적이고 공정하게 하여야 함,0.94,신규,보류,중요도 36위 | 본사-지역사 배분
AD-0037,할인·할증률,할인할증률|광고초수 할인할증|초수 가율,요금/시급체계,"15초(100%) 기준 초수 변동에 따라 15초 미만(120% 할증), 20초(95%), 30초 이상(80% 할인)으로 차등 조율하는 비율.",2025 영업실무핸드북.pdf,p.19 / chunk_19,"TV 프로그램광고 판매초수별 할인·할증률 : 15초 미만 120%, 15초 100%, 20초 95%, 30초 이상 80%",0.96,신규,보류,중요도 37위 | 초수별 요금 변동비율
AD-0038,특집 판매가,특집 단가|특집 프로그램 요금,요금/시급체계,기본 편성표 외 별도로 기획·제작된 특집 프로그램에 대해 판매기준가 적용률 초수를 반영하여 별도 산정하는 광고요금.,2025 영업실무핸드북.pdf,p.20 / chunk_20,특집 판매가는 특집 판매기준가에 적용률과 초수를 반영하여 산정,0.94,신규,보류,중요도 38위 | 특집 방송 단가
AD-0039,광고총량제,방송광고총량제|총량제,요금/시급체계,방송 프로그램 편성시간당 광고의 전체 시간 비율(최대 20/100 이내)만을 제한하고 개별 광고 종류는 자율 운용토록 하는 제도.,2025 영업실무핸드북.pdf,p.6 / chunk_06,해당 방송프로그램 편성시간의 최대 20/100 이하 채널별 1일 전체 방송광고 시간 비율의 평균이 17/100 이하,0.97,신규,보류,중요도 39위 | 방송광고 시간 규제
AD-0040,SA시급,SA등급|프라임타임 시급|SA 시간대,요금/시급체계,시청률과 청취율이 가장 높은 주 시청 시간대(평일 19:30~23:30 등)에 적용되는 최고 등급의 방송 시급.,2025 영업실무핸드북.pdf,p.9 / chunk_09,TV 평일 19:30 ~ 23:30 SA시급 적용,0.96,신규,보류,중요도 40위 | 프라임 시간대 단가
AD-0041,실청약,실청약 확정|실청약 데이터,영업 프로세스,가청약 상태의 데이터를 공사 영업사원이 확인하고 방송사에 업무연락 통보를 완료하여 확정시킨 계약 상태.,2025 영업실무핸드북.pdf,p.58 / chunk_58,담당자 결재 후 방송사 업무 연락 처리하며 방송사 발송과 동시에 실청약으로 변환 처리됨,0.95,신규,보류,중요도 41위 | 청약 승인 완성
AD-0042,청약확정,청약 확정|구좌 확정,영업 프로세스,영업담당자의 확인 및 승인 절차가 완료되어 광고회사 및 구좌 담당자가 확정 내용을 시스템에서 조회할 수 있는 상태.,2025 영업실무핸드북.pdf,p.52 / chunk_52,업무담당자 확인 절차 완료시 광고회사 및 구좌 담당자는 '확정' 사항으로 조회 가능,0.94,신규,보류,중요도 42위 | 구좌 확정 단계
AD-0043,신탁마감,신탁 마감|월 신탁마감,수수료/정산,해당 월에 발생한 방송광고 매출과 청약 집행 내역을 매월 익월 1일 자로 정산 마감하는 영업 관리 절차.,2025 영업실무핸드북.pdf,p.23 / chunk_23,신탁마감일은 신탁 발생 월의 익월 1일. 영업사원은 청약내용과 방송광고 집행 변동을 수시로 체크,0.95,신규,보류,중요도 43위 | 월 정산 기준일
AD-0044,신탁변환,신탁 변환|신탁 데이터 변환,수수료/정산,방송사에 운행의뢰 처리된 방송광고 데이터를 정산 및 세금계산서 발행을 위한 신탁 데이터로 자동 변환하는 절차.,2025 영업실무핸드북.pdf,p.58 / chunk_58,운행의뢰 데이터는 방송사 발송과 동시에 거래명세표의 신탁 데이터로 자동 변환 처리됨,0.94,신규,보류,중요도 44위 | 회계 데이터 자동 전환
AD-0045,월합산세금계산서,월합산 세금계산서|월합계 세금계산서,수수료/정산,1개월 동안 거래된 방송광고료 총액을 해당 월의 말일 자로 합산하여 익월 10일까지 발행하는 세금계산서.,2025 영업실무핸드북.pdf,p.42 / chunk_42,거래처별로 1역월의 공급가액을 합계하여 해당 월의 말일자를 작성연월일로 하여 세금계산서를 발급,0.96,신규,보류,중요도 45위 | 정산 문서 발행
AD-0046,지급보증,광고료 지급보증|보증금액,수수료/정산,광고료 미납 위험에 대비하여 광고회사가 금융기관 보증서나 기업 연대보증 등을 통해 공사에 제출하는 채무 담보.,2025 영업실무핸드북.pdf,p.40 / chunk_40,광고회사 총 채무가 지급보증 금액을 초과하지 않도록 관리,0.95,신규,보류,중요도 46위 | 여신 및 위험 관리
AD-0047,금융기관 지급보증,은행 지급보증|서울보증보험 지급보증,수수료/정산,정부가 인가한 금융기관(은행 서울보증보험 등)이 발행한 보증서 형태의 지급보증.,2025 영업실무핸드북.pdf,p.40 / chunk_40,정부가 인가한 금융기관의 지급보증서 또는 이에 준하는 증서 (은행 /서울보증보험/콘텐츠공제조합),0.94,신규,보류,중요도 47위 | 금융권 보증 담보
AD-0048,기업연대보증,연대보증|상장기업 연대보증,수수료/정산,일정 신용등급(B+ 이상 등) 요건을 갖춘 기업이 연대보증서를 제출하여 담보를 입증하는 보증 형태.,2025 영업실무핸드북.pdf,p.40 / chunk_40,신용평가회사의 기업어음 신용평가등급 B+이상 또는 회사채 등급 BB0 이상 기업 연대보증,0.93,신규,보류,중요도 48위 | 기업 신용 보증
AD-0049,지급보증 감면,보증 감면|지급보증 감면제도,수수료/정산,거래 기간이 3년 이상이고 우수한 신용등급을 보유한 광고회사에 대해 보증서 제출 의무를 일부 감면해 주는 제도.,2025 영업실무핸드북.pdf,p.40 / chunk_40,공사와의 거래기간이 최근 3년 이상이며 기업신용평가 등급 BB이상인 광고회사에 대해 지급보증 감면,0.94,신규,보류,중요도 49위 | 우수 광고회사 혜택
AD-0050,구좌등록,영업구좌 등록|구좌 등록,영업 프로세스,광고회사 또는 직거래 광고주의 방송광고 청약을 위해 담당 영업사원 계정에 구좌를 신규 지정하는 절차.,2025 영업실무핸드북.pdf,p.53 / chunk_53,광고회사 또는 직거래 광고주의 영업구좌를 신규로 등록하거나 구좌를 종료할 때 사용,0.95,신규,보류,중요도 50위 | 코바넷 구좌 할당
AD-0051,대행이동,대행 이동|광고대행 이동,영업 프로세스,광고주가 광고 대행계약을 변경함에 따라 기존 대행사에서 신규 대행사로 청약 구좌 및 소재를 이전 처리하는 작업.,2025 영업실무핸드북.pdf,p.54 / chunk_54,대행을 넘기는 광고회사에서 중지 처리 시 자동으로 생성된 대행이동 방송 건에 대해 소재만 기입한 후 방송신청,0.94,신규,보류,중요도 51위 | 대행사 변경 수속
AD-0052,대행인정,방송광고 대행인정|대행 승인,영업 프로세스,공사가 광고회사와 광고주 간 대행계약서를 확인하여 공식 대행 자격을 인정하고 청약 권한을 부여하는 절차.,2025 영업실무핸드북.pdf,p.39 / chunk_39,광고회사가 방송광고대행계약을 체결한 광고주의 대행 인정을 요청할 경우 문서 접수일을 기준으로 대행을 인정,0.95,신규,보류,중요도 52위 | 공식 대행 승인
AD-0053,소재변경,광고소재 변경|소재 교체,영업 프로세스,이미 확정된 청약 구좌에 내보낼 광고 영상/음원 소재(CF)를 방송 편집 전 다른 심의 완료 소재로 교체하는 업무.,2025 영업실무핸드북.pdf,p.26 / chunk_26,KODEX에 광고소재 등록 및 소재변경 전산입력 후 방송사 전달,0.96,신규,보류,중요도 53위 | 방송 소재 변경
AD-0054,청구지변경,청구지 변경|세금계산서 청구지 변경,영업 프로세스,광고주의 사업자 정보 변경이나 본·지사 간 청구 주체 변경 시 세금계산서 공급받는 자를 수정 등록하는 업무.,2025 영업실무핸드북.pdf,p.56 / chunk_56,청구지변경은 공사 영업사원이 코바넷을 이용해 직접 처리해야 함,0.93,신규,보류,중요도 54위 | 청구 주체 수정
AD-0055,추후지정 광고주,추후지정 광고주 지정|광고주 미확정,영업 프로세스,대행 계약 수속 이전 우선 판매(Upfront 등)가 필요할 때 임시로 '추후지정' 상태로 청약을 넣은 후 실명 전환하는 제도.,2025 영업실무핸드북.pdf,p.59 / chunk_59,영업관리 담당자가 대행 계약 등록 이전 단계에서 정기물 업프론트 등 우선적 판매 절차가 필요할 경우 광고주를 추후지정으로 선택,0.92,신규,보류,중요도 55위 | 임시 광고주 지정
AD-0056,추후지정 소재,추후지정 소재 지정|소재 미확정,영업 프로세스,청약은 확정되었으나 심의 미완료 등의 사유로 방송 전까지 임시로 소재를 '추후지정'으로 처리해 두는 기능.,2025 영업실무핸드북.pdf,p.59 / chunk_59,심의가 나지 않은 경우 추후지정으로 지정하여 운행의뢰서 처리. 방송 편집일 이전까지 실 소재로 변경해야 함,0.93,신규,보류,중요도 56위 | 임시 소재 지정
AD-0057,선수금,광고료 선수금|선입금,수수료/정산,지급보증 미제출 광고주가 방송광고 청약 이전에 현금으로 사전 납부하는 방송 광고료.,2025 영업실무핸드북.pdf,p.23 / chunk_23,방송 광고료는 방송청약 이전에 현금 선입금을 원칙으로 하나 지급보증 제출시 후불 가능,0.95,신규,보류,중요도 57위 | 사전 납부 광고요금
AD-0058,거래명세표,방송광고 거래명세표|집행 거래명세서,수수료/정산,방송 집행 완료 후 세금계산서 발행과 함께 산출되는 세부 방송광고 거래 내역서.,2025 영업실무핸드북.pdf,p.23 / chunk_23,신탁마감 자료 제공 : 광고주 등록시 사업자등록증 등록 메일주소로 거래명세표 발행,0.96,신규,보류,중요도 58위 | 증빙 명세서
AD-0059,운행전산처리,운행전산 처리|큐시트 전산처리,시스템/플랫폼,방송사에 확정된 청약 데이터 및 큐시트를 전산망을 통해 송출 장비로 전달하는 자동화 처리 과정.,2025 영업실무핸드북.pdf,p.25 / chunk_25,방송광고 운행전산처리 (KOBAnet/KODEX) -> IT팀/방송사 송출,0.94,신규,보류,중요도 59위 | 운행 자동화 시스템
AD-0060,운행불일치,운행 불일치|송출 불일치,사고/예외처리,청약된 내용(시급 초수 소재 등)과 실제로 방송 송출된 내역이 서로 달라 일치하지 아니한 상태.,2025 영업실무핸드북.pdf,p.29 / chunk_29,청약자가 공사를 통해 방송사에 의뢰한 대로 방송광고가 방송되지 않거나 의뢰하지 않은 방송광고가 방송되는 경우,0.95,신규,보류,중요도 60위 | 송출 불일치 검증
AD-0061,편집착오,방송 편집착오|소재 착오,사고/예외처리,방송사 편집실에서 구 소재를 사용하거나 소재를 오입력하여 잘못 방송한 사고.,2025 영업실무핸드북.pdf,p.29 / chunk_29,공사 또는 방송사의 착오로 구 광고소재 사용 광고소재 착오 방송광고 기간 착오가 발생한 경우,0.94,신규,보류,중요도 61위 | 편집 실수 사고
AD-0062,초수 짤림,초수짤림|화면 짤림|송출 초수 부족,사고/예외처리,방송 송출 중 시간 지연이나 방송사 착오로 인하여 계약된 광고 초수 전체가 나오지 못하고 일부분이 잘린 상태.,2025 영업실무핸드북.pdf,p.29 / chunk_29,방송사 착오로 인한 초수 짤림 발생 시 해당 광고요금 청구 제외,0.93,신규,보류,중요도 62위 | 송출 짤림 사고
AD-0063,한중지,한중지 처리|한시적 방송중지,영업 프로세스,광고주의 요청에 따라 지정한 일정 기간 동안만 방송광고 송출을 한시적으로 중단하는 처리.,2025 영업실무핸드북.pdf,p.52 / chunk_52,광고주요청에 의한 한중지/중지 처리에 따라 생성되는 운행 상태,0.93,신규,보류,중요도 63위 | 일시 방송 중단
AD-0064,중지,방송중지|청약 중지,영업 프로세스,광고주의 요청이나 부도 등의 사유로 인하여 진행 중인 방송광고 계약 전체를 전면 중단 처리하는 행위.,2025 영업실무핸드북.pdf,p.52 / chunk_52,광고주 요청 또는 지급보증 미제출시 해당 광고회사 신탁 중지 및 방송중지 통보,0.94,신규,보류,중요도 64위 | 청약 완전 중지
AD-0065,KADD,카드|한국광고데이터|모니터링 조사 기관,매체/사업자,방송 모니터링 수행 데이터를 코바넷에 전송하여 방송 집행 내역 및 시청률 검증을 지원하는 전문 모니터링 기관.,2025 영업실무핸드북.pdf,p.53 / chunk_53,KADD에서 방송일 다음날 오전에 코바넷을 통해 모니터링 데이터 다운로드 및 검증 처리,0.92,신규,보류,중요도 65위 | 방송 모니터링 기관
AD-0066,AGB Nielsen,AGB닐슨|닐슨코리아|시청률 조사 기관,매체/사업자,KADD의 운행 자료를 바탕으로 TV 시청률 및 광고 시청률 데이터를 산출하는 시청률 조사 기관.,2025 영업실무핸드북.pdf,p.53 / chunk_53,AGB Nielsen은 KADD의 모니터링 자료를 가지고 시청률 자료 생성,0.93,신규,보류,중요도 66위 | 시청률 산출 기관
AD-0067,TNmS,티앤엠에스|TNMS|시청률 조사회사,매체/사업자,자체 모니터링 데이터 및 가구 조사를 기반으로 방송 시청률 자료를 생산하여 코바넷에 제공하는 조사 기관.,2025 영업실무핸드북.pdf,p.53 / chunk_53,TNmS는 자체 모니터링 자료를 가지고 시청률 자료 생성,0.92,신규,보류,중요도 67위 | 시청률 조사기관
